Parent,Child,Grandchild
Floral,Floral,Chamomile
Floral,Floral,Rose Hip
Floral,Floral,Rose
Floral,Floral,Jasmine
Floral,Floral,Hibiscus
Floral,Floral,Clementine
Floral,Floral,Chrysanthemum
Floral,Floral,Elderflower
Floral,Floral,Blossoms
Floral,Floral,Floral
Floral,Floral,Lavender
Floral,Black tea,Black Tea
Floral,Black tea,Tea
Floral,Black tea,Earl Grey
Fruity,Berry,Blackberry
Fruity,Berry,Raspberry
Fruity,Berry,Blueberry
Fruity,Berry,Blueberry Jam
Fruity,Berry,Strawberry
Fruity,Berry,Cranberry
Fruity,Berry,Red Berry
Fruity,Berry,Berries
Fruity,Berry,Wild Dark Berries
Fruity,Dried fruit,Raisin
Fruity,Dried fruit,Golden Raisin
Fruity,Dried fruit,Dried Berries
Fruity,Dried fruit,Dried Apricot
Fruity,Dried fruit,Dried Strawberry
Fruity,Dried fruit,Prune
Fruity,Dried fruit,Dates
Fruity,Other fruit,Coconut
Fruity,Other fruit,Red Fruits 
Fruity,Sweet fruit,Golden Kiwi
Fruity,Acidic fruit,Kiwi
Fruity,Sweet fruit,Cherry
Fruity,Sweet fruit,Ripe Strawberry
Fruity,Sweet fruit,Lychee
Fruity,Acidic fruit,Pomegranate
Fruity,Acidic fruit,Pineapple
Fruity,Acidic fruit,Starfruit
Fruity,Sweet fruit,Apricot
Fruity,Sweet fruit,Red Grape
Fruity,Acidic fruit,White Grape
Fruity,Sweet fruit,Grape
Fruity,Sweet fruit,Muscat Grape
Fruity,Sweet fruit,Ripe Fruits
Fruity,Sweet fruit,Apple
Fruity,Sweet fruit,Red Apple
Fruity,Acidic fruit,Green Apple
Fruity,Sweet fruit,Apple Juice
Fruity,Acidic fruit,Blackcurrant
Fruity,Sweet fruit,Peach
Fruity,Sweet fruit,Pear
Fruity,Sweet fruit,Poached Pear
Fruity,Sweet fruit,Banana
Fruity,Sweet fruit,Mango
Fruity,Acidic fruit,Mangosteen
Fruity,Acidic fruit,Tamarind
Fruity,Sweet fruit,Guava
Fruity,Sweet fruit,Tropical Fruits
Fruity,Sweet fruit,Honeydew
Fruity,Sweet fruit,Stone Fruits
Fruity,Sweet fruit,Plum
Fruity,Sweet fruit,Passion Fruit
Fruity,Citrus fruit,Grapefruit
Fruity,Citrus fruit,Orange
Fruity,Citrus fruit,Lemon
Fruity,Citrus fruit,Lime
Fruity,Citrus fruit,Lime Juice
Fruity,Citrus fruit,Bergamot
Fruity,Citrus fruit,Blood Orange
Fruity,Citrus fruit,Mandarin Orange
Fruity,Citrus fruit,Orange Peel
Fruity,Citrus fruit,Orange Zest
Fruity,Citrus fruit,Lemon Zest
Fruity,Citrus fruit,Citrus
Fruity,Citrus fruit,Tangerine
Sour,Sour,Sour Aromatics
Sour,Sour,Tartaric Acid
Sour,Sour,Acetic Acid
Sour,Sour,Butyric Acid
Sour,Sour,Iso-valeric Acid
Sour,Sour,Citric Acid
Sour,Sour,Malic Acid
Sour,Fermented,Winey
Sour,Fermented,Red Wine
Sour,Fermented,Chocolate Liqueur
